id,OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET,Lat,Long,Image_Id
102,Larceny,10/3/2018 14:47,WASHINGTON ST,42.356801,-71.05893,5cae691a579dc84342e09534
103,Larceny,10/3/2018 14:54,WARREN ST,42.322216,-71.082067,5cae691a579dc84342e094d4
104,Other,10/3/2018 14:22,COLONEL MICHAEL J. MCDONO,42.327905,-71.053056,5cae691a579dc84342e094d4
105,Ballistics,10/1/2018 9:00,WHITE ST,42.380537,-71.03885,5cae691a579dc84342e094d4
106,Fraud,9/23/2018 12:00,PREBLE ST,42.329451,-71.056659,5cae691a579dc84342e094d4
107,Other,10/3/2018 14:04,BEACON ST,42.355052,-71.073907,5cae691a579dc84342e094d4
108,Fraud,10/3/2018 14:04,BEACON ST,42.355052,-71.073907,5cae691a579dc84342e094d4
109,Drug Violation,10/3/2018 14:55,GERARD ST,42.331306,-71.071947,5cae691a579dc84342e094d4
110,Property Found,10/3/2018 14:30,CENTRE ST,42.287094,-71.148221,5cae691a579dc84342e0953b
111,Ballistics,10/3/2018 8:00,PARIS ST,42.370818,-71.039291,5cae691a579dc84342e094d4
112,Restraining Order Violations,10/3/2018 12:40,E FIFTH ST,42.334099,-71.026526,5cae691a579dc84342e0956c
113,Motor Vehicle Accident Response,10/3/2018 14:12,RIVER ST,42.256028,-71.121907,5cae691a579dc84342e0954d
114,Larceny,10/2/2018 15:30,MELVILLE AVE,42.294552,-71.067189,5cae691a579dc84342e094d4
115,Simple Assault,10/3/2018 13:50,HYDE PARK AVE,42.256216,-71.124019,5cae691a579dc84342e094d4
116,Vandalism,10/3/2018 13:50,HYDE PARK AVE,42.256216,-71.124019,5cae691a579dc84342e094d4
117,Property Found,10/3/2018 12:30,WASHINGTON ST,42.309247,-71.134448,5cae691a579dc84342e09534
118,Vandalism,10/2/2018 19:00,PHIPPS ST,42.376889,-71.066846,5cae691a579dc84342e094d4
119,Warrant Arrests,10/3/2018 13:25,WASHINGTON ST,42.288739,-71.071126,5cae691a579dc84342e09534
120,Warrant Arrests,10/3/2018 14:00,BICKFORD ST,42.324833,-71.101648,5cae691a579dc84342e094d4
121,Violations,10/3/2018 13:46,MORTON ST,42.280612,-71.083501,5cae691a579dc84342e094d4
122,Violations,10/3/2018 13:46,MORTON ST,42.280612,-71.083501,5cae691a579dc84342e094d4
123,Harassment,10/3/2018 13:00,COMMONWEALTH CT,42.34614,-71.140037,5cae691a579dc84342e094d4
